Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Clicked on Ad
83.91,29,53223.58,222.87,0,0
79.8,28,57179.91,229.88,1,0
71.23,52,41521.28,122.59,0,1
47.23,43,73538.09,210.87,1,1
82.37,30,63664.32,207.44,0,0
43.63,38,61757.12,135.25,1,1
70.9,28,71727.51,190.95,0,0
71.9,29,72203.96,193.29,1,0
62.12,37,50671.6,105.86,1,1
67.35,29,47510.42,118.69,0,1
57.99,50,62466.1,124.58,0,1
66.8,29,59683.16,248.51,0,1
49.13,32,41097.17,120.49,0,1
45.11,58,39799.73,195.69,0,1
54.35,42,76984.21,164.02,0,0
61.82,59,57877.15,151.93,1,1
77.75,31,59047.91,240.64,1,0
70.61,28,72154.68,190.12,0,0
82.72,31,65704.79,179.82,0,0
76.87,36,72948.76,212.59,0,0
65.07,34,73941.91,227.53,1,0
56.93,37,57887.64,111.8,0,1
48.86,35,62463.7,128.37,1,1
36.56,29,42838.29,195.89,0,1
85.73,32,43778.88,147.75,1,1
75.81,40,71157.05,229.19,0,0
72.94,31,74159.69,190.84,0,0
53.63,54,50333.72,126.29,1,1
52.35,25,33293.78,147.61,1,1
52.84,51,38641.2,121.57,1,1
51.58,33,49822.78,115.91,0,1
42.32,29,63891.29,187.09,1,1
55.04,42,43881.73,106.96,1,1
68.58,41,13996.5,171.54,1,1
85.54,27,48761.14,175.43,1,0
71.14,30,69758.31,224.82,0,0
64.38,19,52530.1,180.47,1,0
88.85,40,58363.12,213.96,0,0
66.79,60,60575.99,198.3,1,1
32.6,45,48206.04,185.47,0,1
43.88,54,31523.09,166.85,1,1
56.46,26,66187.58,151.63,0,1
72.18,30,69438.04,225.02,0,0
52.67,44,14775.5,191.26,0,1
80.55,35,68016.9,219.91,0,0
67.85,41,78520.99,202.7,1,1
75.55,36,31998.72,123.71,1,1
80.46,29,56909.3,230.78,0,0
82.69,29,61161.29,167.41,1,0
35.21,39,52340.1,154,1,1
36.37,40,47338.94,144.53,1,1
74.07,22,50950.24,165.43,1,0
59.96,33,77143.61,197.66,0,1
85.62,29,57032.36,195.68,0,0
40.88,33,48554.45,136.18,1,1
36.98,31,39552.49,167.87,1,1
35.49,47,36884.23,170.04,0,1
56.56,26,68783.45,204.47,1,0
36.62,32,51119.93,162.44,1,1
49.35,49,44304.13,119.86,0,1
75.64,29,69718.19,204.82,1,0
79.22,27,63429.18,198.79,1,0
77.05,34,65756.36,236.08,0,0
66.83,46,77871.75,196.17,1,0
76.2,24,47258.59,228.81,1,0
56.64,29,55984.89,123.24,1,1
53.33,34,44275.13,111.63,1,1
50.63,50,25767.16,142.23,0,1
41.84,49,37605.11,139.32,0,1
53.92,41,25739.09,125.46,1,1
83.89,28,60188.38,180.88,1,0
55.32,43,67682.32,127.65,0,1
53.22,44,44307.18,108.85,0,1
43.16,35,25371.52,156.11,1,1
67.51,43,23942.61,127.2,0,1
43.16,29,50666.5,143.04,1,1
79.89,30,50356.06,241.38,1,0
84.25,32,63936.5,170.9,1,0
74.18,28,69874.18,203.87,0,0
85.78,34,50038.65,232.78,0,0
80.96,39,67866.95,225,1,0
36.91,48,54645.2,159.69,0,1
54.47,23,46780.09,141.52,0,1
81.98,34,67432.49,212.88,0,0
79.6,39,73392.28,194.23,0,0
57.51,38,47682.28,105.71,0,1
82.3,31,56735.83,232.21,0,0
73.21,30,51013.37,252.6,1,1
79.09,32,69481.85,209.72,1,0
68.47,28,67033.34,226.64,0,0
83.69,36,68717,192.57,0,0
83.48,31,59340.99,222.72,1,0
43.49,45,47968.32,124.67,0,1
66.69,35,48758.92,108.27,0,1
48.46,49,61230.03,132.38,1,1
42.51,30,54755.71,144.77,1,1
42.83,34,54324.73,132.38,1,1
41.46,42,52177.4,128.98,1,1
45.99,33,51163.14,124.61,1,1
68.72,27,66861.67,225.97,0,0
63.11,34,63107.88,254.94,1,0
49.21,46,49206.4,115.6,0,1
55.77,49,55942.04,117.33,1,1
44.13,40,33601.84,128.48,1,1
57.82,46,48867.36,107.56,1,1
72.46,40,56683.32,113.53,0,1
61.88,45,38260.89,108.18,0,1
78.24,23,54106.21,199.29,0,0
74.61,38,71055.22,231.28,1,0
89.18,37,46403.18,224.01,1,0
44.16,42,61690.93,133.42,1,1
55.74,37,26130.93,124.34,1,1
88.82,36,58638.75,169.1,0,0
70.39,32,47357.39,261.52,1,0
59.05,52,50086.17,118.45,1,1
78.58,33,51772.58,250.11,1,0
35.11,35,47638.3,158.03,1,1
60.39,45,38987.42,108.25,1,1
81.56,26,51363.16,213.7,1,0
75.03,34,35764.49,255.57,0,1
50.87,24,62939.5,190.41,0,1
82.8,30,58776.67,223.2,1,0
78.51,25,59106.12,205.71,1,0
37.65,51,50457.01,161.29,1,1
83.17,43,54251.78,244.4,1,0
91.37,45,51920.49,182.65,1,1
68.25,29,70324.8,220.08,0,0
81.32,25,52416.18,165.65,0,0
76.64,39,66217.31,241.5,1,0
74.06,50,60938.73,246.29,1,0
39.53,33,40243.82,142.21,1,1
86.58,32,60151.77,195.93,1,0
90.75,40,45945.88,216.5,0,0
67.71,25,63430.33,225.76,1,0
82.41,36,65882.81,222.08,0,0
45.82,27,64410.8,171.24,1,1
76.79,27,55677.12,235.94,0,0
70.05,33,75560.65,203.44,0,0
72.19,32,61067.58,250.32,1,0
77.35,34,72330.57,167.26,0,0
40.34,29,32549.95,173.75,0,1
67.39,44,51257.26,107.19,0,1
68.68,34,77220.42,187.03,1,0
81.75,43,52520.75,249.45,0,0
66.03,22,59422.47,217.37,0,0
47.74,33,22456.04,154.93,1,1
79.18,31,58443.99,236.96,0,0
86.81,29,50820.74,199.62,1,0
41.53,42,67575.12,158.81,0,1
70.92,39,66522.79,249.81,1,0
46.84,45,34903.67,123.22,0,1
44.4,53,43073.78,140.95,1,1
52.17,44,57594.7,115.37,1,1
81.45,31,66027.31,205.84,1,0
54.08,36,53012.94,111.02,1,1
76.65,31,61117.5,238.43,0,0
54.39,20,52563.22,171.9,1,1
37.74,40,65773.49,190.95,0,1
69.86,25,50506.44,241.36,0,0
85.37,36,66262.59,194.56,1,0
80.99,26,35521.88,207.53,1,0
78.84,32,62430.55,235.29,1,0
77.36,41,49597.08,115.79,0,1
55.46,37,42078.89,108.1,0,1
35.66,45,46197.59,151.72,0,1
50.78,51,49957,122.04,0,1
40.47,38,24078.93,203.9,0,1
45.62,43,53647.81,121.28,0,1
84.76,30,61039.13,178.69,0,0
80.64,26,46974.15,221.59,0,0
75.94,27,53042.51,236.96,1,0
37.01,50,48826.14,216.01,0,1
87.18,31,58287.86,193.6,0,0
56.91,50,21773.22,146.44,0,1
75.24,24,52252.91,226.49,0,0
42.84,52,27073.27,182.2,1,1
67.56,47,50628.31,109.98,0,1
34.96,42,36913.51,160.49,1,1
87.46,37,61009.1,211.56,1,0
41.86,39,53041.77,128.62,1,1
34.04,34,40182.84,174.88,1,1
54.96,42,59419.78,113.75,1,1
87.14,31,58235.21,199.4,1,0
78.79,32,68324.48,215.29,1,0
65.56,25,69646.35,181.25,1,0
81.05,34,54045.39,245.5,0,0
55.71,37,57806.03,112.52,1,1
45.48,49,53336.76,129.16,1,1
47,56,50491.45,149.53,0,1
59.64,51,71455.62,153.12,1,1
35.98,45,43241.88,150.79,0,1
72.55,22,58953.01,202.34,0,0
91.15,38,36834.04,184.98,0,0
80.53,29,66345.1,187.64,0,0
82.49,45,38645.4,130.84,0,1
80.94,36,60803,239.94,0,0
61.76,34,33553.9,114.69,0,1
63.3,38,63071.34,116.19,0,1
36.73,34,46737.34,149.79,1,1
78.41,33,55368.67,248.23,1,0
83.98,36,68305.91,194.62,0,0
63.18,45,39211.49,107.92,0,1
50.6,48,65956.71,135.67,0,1
32.6,38,40159.2,190.05,0,1
60.83,19,40478.83,185.46,1,0
44.72,46,40468.53,123.86,1,1
78.76,51,66980.27,162.05,0,1
79.51,39,34942.26,125.11,1,1
39.3,32,48335.2,145.73,0,1
64.79,30,42251.59,116.07,0,1
89.8,36,57330.43,198.24,0,0
72.82,34,75769.82,191.82,1,0
38.65,31,51812.71,154.77,1,1
59.01,30,75265.96,178.75,1,1
78.96,50,69868.48,193.15,0,1
63.99,43,72802.42,138.46,0,1
41.35,27,39193.45,162.46,1,1
62.79,36,18368.57,231.87,1,1
45.53,29,56129.89,141.58,0,1
51.65,31,58996.56,249.99,0,0
54.55,44,41547.62,109.04,0,1
35.66,36,59240.24,172.57,0,1
69.95,28,56725.47,247.01,0,0
79.83,29,55764.43,234.23,1,0
85.35,37,64235.51,161.42,1,0
56.78,28,39939.39,124.32,0,1
78.67,26,63319.99,195.56,0,0
70.09,21,54725.87,211.17,0,0
60.75,42,69775.75,247.05,1,0
65.07,24,57545.56,233.85,0,0
35.25,50,47051.02,194.44,0,1
37.58,52,51600.47,176.7,1,1
68.01,25,68357.96,188.32,1,0
45.08,38,35349.26,125.27,0,1
63.04,27,69784.85,159.05,0,1
40.18,29,50760.23,151.96,0,1
45.17,48,34418.09,132.07,1,1
50.48,50,20592.99,162.43,0,1
80.87,28,63528.8,203.3,0,0
41.88,40,44217.68,126.11,1,1
39.87,48,47929.83,139.34,1,1
61.84,45,46024.29,105.63,1,1
54.97,31,51900.03,116.38,1,1
71.4,30,72188.9,166.31,0,0
70.29,31,56974.51,254.65,1,0
67.26,57,25682.65,168.41,1,1
76.58,46,41884.64,258.26,0,0
54.37,38,72196.29,140.77,0,1
82.79,32,54429.17,234.81,1,0
66.47,31,58037.66,256.39,1,0
72.88,44,64011.26,125.12,0,1
76.44,28,59967.19,232.68,1,0
63.37,43,43155.19,105.04,1,1
89.71,48,51501.38,204.4,1,0
70.96,31,55187.85,256.4,0,0
35.79,44,33813.08,165.62,1,1
38.96,38,36497.22,140.67,1,1
69.17,40,66193.81,123.62,0,1
64.2,27,66200.96,227.63,1,0
43.7,28,63126.96,173.01,0,1
72.97,30,71384.57,208.58,1,1
51.3,45,67782.17,134.42,1,1
51.63,51,42415.72,120.37,1,1
55.55,19,41920.79,187.95,0,0
45.01,26,29875.8,178.35,0,1
